Timestamp,Consumption,InstantaneousChange,Hour,Date
1720220400,0.20,0.00,18,2024-07-05
1720224000,0.62,0.42,19,2024-07-05
1720227600,1.03,0.41,20,2024-07-05
1720231200,1.45,0.42,21,2024-07-05
1720234800,1.85,0.4,22,2024-07-05
1720238400,2.22,0.37,23,2024-07-05
1720242000,2.45,0.23,00,2024-07-06
1720245600,2.62,0.17,01,2024-07-06
1720249200,2.79,0.17,02,2024-07-06
1720252800,2.96,0.17,03,2024-07-06
1720256400,3.14,0.18,04,2024-07-06
1720260000,3.31,0.17,05,2024-07-06
1720263600,3.48,0.17,06,2024-07-06
1720267200,3.65,0.17,07,2024-07-06
1720270800,3.82,0.17,08,2024-07-06
1720274400,3.99,0.17,09,2024-07-06
1720278000,4.36,0.37,10,2024-07-06
1720281600,4.79,0.43,11,2024-07-06
1720285200,5.21,0.42,12,2024-07-06
1720288800,5.63,0.42,13,2024-07-06
1720292400,6.06,0.43,14,2024-07-06
1720296000,6.46,0.4,15,2024-07-06
1720299600,6.85,0.39,16,2024-07-06
1720303200,7.24,0.39,17,2024-07-06
1720306800,7.63,0.39,18,2024-07-06
1720310400,8.03,0.4,19,2024-07-06
1720314000,8.38,0.35,20,2024-07-06
1720317600,8.72,0.34,21,2024-07-06
1720321200,9.07,0.35,22,2024-07-06
1720324800,9.44,0.37,23,2024-07-06
1720328400,9.80,0.36,00,2024-07-07
1720332000,9.98,0.18,01,2024-07-07
1720335600,10.16,0.18,02,2024-07-07
1720339200,10.34,0.18,03,2024-07-07
1720342800,10.51,0.17,04,2024-07-07
1720346400,10.69,0.18,05,2024-07-07
1720350000,10.87,0.18,06,2024-07-07
1720353600,11.05,0.18,07,2024-07-07
1720357200,11.23,0.18,08,2024-07-07
1720360800,11.40,0.17,09,2024-07-07
1720364400,11.58,0.18,10,2024-07-07
1720368000,11.85,0.27,11,2024-07-07
1720371600,12.26,0.41,12,2024-07-07
1720375200,12.68,0.42,13,2024-07-07
1720378800,13.06,0.38,14,2024-07-07
1720382400,13.44,0.38,15,2024-07-07
1720386000,13.82,0.38,16,2024-07-07
1720389600,14.19,0.37,17,2024-07-07
1720393200,14.57,0.38,18,2024-07-07
1720396800,14.97,0.4,19,2024-07-07
1720400400,15.36,0.39,20,2024-07-07
1720404000,15.76,0.4,21,2024-07-07
1720407600,16.15,0.39,22,2024-07-07
1720411200,16.39,0.24,23,2024-07-07
1720414800,16.62,0.23,00,2024-07-08
1720418400,16.85,0.23,01,2024-07-08
1720422000,17.08,0.23,02,2024-07-08
1720425600,17.31,0.23,03,2024-07-08
1720429200,17.54,0.23,04,2024-07-08
1720432800,17.77,0.23,05,2024-07-08
1720436400,17.99,0.22,06,2024-07-08
1720440000,18.22,0.23,07,2024-07-08
1720443600,18.45,0.23,08,2024-07-08
1720447200,18.68,0.23,09,2024-07-08
1720450800,18.96,0.28,10,2024-07-08
1720454400,19.35,0.39,11,2024-07-08
1720458000,19.73,0.38,12,2024-07-08
1720461600,20.12,0.39,13,2024-07-08
1720465200,20.50,0.38,14,2024-07-08
1720468800,20.86,0.36,15,2024-07-08
1720472400,21.10,0.24,16,2024-07-08
1720476000,21.34,0.24,17,2024-07-08
1720479600,21.59,0.25,18,2024-07-08
1720483200,21.83,0.24,19,2024-07-08
1720486800,22.07,0.24,20,2024-07-08
1720490400,22.32,0.25,21,2024-07-08
1720494000,22.56,0.24,22,2024-07-08
1720497600,22.80,0.24,23,2024-07-08
1720501200,23.04,0.24,00,2024-07-09
1720504800,23.29,0.25,01,2024-07-09
1720508400,23.53,0.24,02,2024-07-09
1720512000,23.77,0.24,03,2024-07-09
1720515600,24.02,0.25,04,2024-07-09
1720519200,24.26,0.24,05,2024-07-09
1720522800,24.50,0.24,06,2024-07-09
1720526400,24.75,0.25,07,2024-07-09
1720530000,24.99,0.24,08,2024-07-09
1720533600,25.23,0.24,09,2024-07-09
1720537200,25.47,0.24,10,2024-07-09
1720540800,25.72,0.25,11,2024-07-09
1720544400,25.96,0.24,12,2024-07-09
1720548000,26.20,0.24,13,2024-07-09
1720551600,26.45,0.25,14,2024-07-09
1720555200,26.69,0.24,15,2024-07-09
1720558800,26.93,0.24,16,2024-07-09
1720562400,27.17,0.24,17,2024-07-09
1720566000,27.41,0.24,18,2024-07-09
1720569600,27.66,0.25,19,2024-07-09
1720573200,27.90,0.24,20,2024-07-09
1720576800,28.14,0.24,21,2024-07-09
1720580400,28.38,0.24,22,2024-07-09
1720584000,28.62,0.24,23,2024-07-09
1720587600,28.86,0.24,00,2024-07-10
1720591200,29.11,0.25,01,2024-07-10
1720594800,29.35,0.24,02,2024-07-10
1720598400,29.59,0.24,03,2024-07-10
1720602000,29.83,0.24,04,2024-07-10
1720605600,30.07,0.24,05,2024-07-10
1720609200,30.31,0.24,06,2024-07-10
1720612800,30.55,0.24,07,2024-07-10
1720616400,30.80,0.25,08,2024-07-10
1720620000,31.04,0.24,09,2024-07-10
1720623600,31.28,0.24,10,2024-07-10
1720627200,31.52,0.24,11,2024-07-10
1720630800,31.76,0.24,12,2024-07-10
1720634400,32.00,0.24,13,2024-07-10
1720638000,32.25,0.25,14,2024-07-10
1720641600,32.49,0.24,15,2024-07-10
1720645200,32.73,0.24,16,2024-07-10
1720648800,32.97,0.24,17,2024-07-10
1720652400,33.21,0.24,18,2024-07-10
1720656000,33.45,0.24,19,2024-07-10
1720659600,33.70,0.25,20,2024-07-10
1720663200,33.94,0.24,21,2024-07-10
1720666800,34.18,0.24,22,2024-07-10
1720670400,34.42,0.24,23,2024-07-10
1720674000,34.66,0.24,00,2024-07-11
1720677600,34.90,0.24,01,2024-07-11
1720681200,35.14,0.24,02,2024-07-11
1720684800,35.39,0.25,03,2024-07-11
1720688400,35.63,0.24,04,2024-07-11
1720692000,35.87,0.24,05,2024-07-11
1720695600,36.11,0.24,06,2024-07-11
1720699200,36.35,0.24,07,2024-07-11
1720702800,36.59,0.24,08,2024-07-11
1720706400,36.84,0.25,09,2024-07-11
1720710000,37.08,0.24,10,2024-07-11
1720713600,37.32,0.24,11,2024-07-11
1720717200,37.56,0.24,12,2024-07-11
1720720800,37.80,0.24,13,2024-07-11
1720724400,38.04,0.24,14,2024-07-11
1720728000,38.31,0.27,15,2024-07-11
1720731600,38.96,0.65,16,2024-07-11
1720735200,39.51,0.55,17,2024-07-11
1720738800,39.90,0.39,18,2024-07-11
1720742400,40.55,0.65,19,2024-07-11
1720746000,41.02,0.47,20,2024-07-11
1720749600,41.40,0.38,21,2024-07-11
1720753200,41.76,0.36,22,2024-07-11
1720756800,42.22,0.46,23,2024-07-11
1720760400,42.65,0.43,00,2024-07-12
1720764000,43.01,0.36,01,2024-07-12
